metodo,penalidade,aceleracao,P1,P2,P3,custo,PL,viol_balanco,viol_max,iter,aval,divergiu
Exterior,1.0,1.2,294.8069700825381,399.2307647508466,175.5514746393571,75534.01969029267,19.7237348515524,0.1345253788105083,0.1345253788105083,35,10038,False
Exterior,10.0,1.2,294.85324106310475,399.308369704682,175.5664431817788,75542.78623860737,19.730226678651444,0.0021727290859416826,0.0021727290859416826,45,10261,False
Exterior,100.0,1.2,294.852002633995,399.3108429598722,175.56721470847526,75542.91289097465,19.730320970304035,0.0002606679615837493,0.0002606679615837493,44,10799,False
Exterior,1000.0,1.2,294.85437316056044,399.30953184100474,175.56631425475913,75542.9227391932,19.730331346444345,0.00011209012006929697,0.00011209012006929697,36,10238,False
Exterior,10000.0,1.2,-7232474.994465381,-7145337.984889484,-7270966.190890745,1.5486868606758006e+26,nan,11631222334.293198,11631222334.293198,27,10608,True
Lagrangeano,1.0,1.2,294.85952755437165,399.30672896241214,175.5640940987742,75542.93018147006,19.73034703786847,3.577689426492725e-06,3.577689426492725e-06,23,5265,False
Lagrangeano,10.0,1.2,294.8529414472037,399.3114136213377,175.56599334012287,75542.93016207038,19.730348828985967,4.203216121823061e-07,4.203216121823061e-07,29,5820,False
Lagrangeano,100.0,1.2,294.8508257062838,399.3120588282796,175.56745223702382,75542.93016096488,19.730336558503694,2.1308346731530037e-07,2.1308346731530037e-07,20,3640,False
